ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{built-in method _operator.inv}
1,0.000,0.000,0.000,0.000,{built-in method _operator.and_}
1,0.000,0.000,0.000,0.000,{built-in method _operator.or_}
400005,0.957,0.000,1.508,0.000,{built-in method _functools.reduce}
2,0.000,0.000,0.000,0.000,{built-in method _codecs.lookup}
33,0.016,0.000,0.016,0.000,{built-in method _codecs.utf_8_decode}
731,0.003,0.000,0.003,0.000,{method 'match' of 're.Pattern' objects}
1900,0.012,0.000,0.012,0.000,{method 'search' of 're.Pattern' objects}
1319,0.087,0.000,0.088,0.000,{method 'sub' of 're.Pattern' objects}
463,0.314,0.001,0.314,0.001,{method 'findall' of 're.Pattern' objects}
2109,0.110,0.000,0.110,0.000,{method 'split' of 're.Pattern' objects}
8202,0.005,0.000,0.005,0.000,{method 'group' of 're.Match' objects}
16,0.000,0.000,0.000,0.000,{method 'end' of 're.Match' objects}
1,0.000,0.000,0.000,0.000,{method 'groups' of 're.Match' objects}
12,0.000,0.000,0.000,0.000,{method 'groupdict' of 're.Match' objects}
190,0.001,0.000,0.001,0.000,{built-in method _sre.compile}
26,0.000,0.000,0.000,0.000,{built-in method _sre.ascii_iscased}
713,0.000,0.000,0.000,0.000,{built-in method _sre.unicode_iscased}
25,0.000,0.000,0.000,0.000,{built-in method _sre.ascii_tolower}
563,0.000,0.000,0.000,0.000,{built-in method _sre.unicode_tolower}
6304,0.089,0.000,0.089,0.000,{built-in method posix.stat}
3,0.000,0.000,0.000,0.000,{built-in method posix.getcwd}
504,0.037,0.000,0.037,0.000,{built-in method posix.listdir}
46,0.001,0.000,0.001,0.000,{built-in method posix.lstat}
1,0.000,0.000,0.000,0.000,{built-in method posix.readlink}
3,0.000,0.000,0.000,0.000,{built-in method posix.uname}
3,0.000,0.000,0.000,0.000,{built-in method posix.register_at_fork}
1,0.000,0.000,0.000,0.000,{built-in method posix.getpid}
4,0.000,0.000,0.000,0.000,{built-in method posix.open}
4,0.000,0.000,0.000,0.000,{built-in method posix.close}
1,0.000,0.000,0.000,0.000,{built-in method posix.device_encoding}
2,0.000,0.000,0.000,0.000,{built-in method posix.lseek}
